@relation sentimentos

@attribute text string
@attribute sentimento {Negativo,Neutro,Positivo}

@data
'@Laranjito76 A pessoa certa para isso seria o vale e azevedo :)',Positivo
'@behin_d_curtain Para mim, é precisamente o contrário :) Vem a chuva e vem a boa disposição :)',Positivo
'Vou fazer um video hoje... estou pensando em falar um pouco sobre o novo meta do CSGO e sobre a pagina https://t.co/5RjhKnj0oh Alguem tem uma sugestao? Queria falar sobre algo do cenario nacional :D',Positivo
'aaaaaaaa amei tanto essas polaroids, nem sei expressar o quanto eu to apaixonada de vdd✨💖🎈🎉🎊 espero que outras pessoas consigam ganhar também :) https://t.co/pbIp7tRcSE',Positivo
'Valoriza o coração do menininho que vc tem. Ele é diferente. O faça sorrir e ter certeza disso ❤️ — Eu valorizo todo mundo na minha vida, não vai ser diferente com ele :)) https://t.co/5c7wlXQyz9',Positivo
'@KingJokerLeto mas amiga eu to aqui ainda :)',Positivo
'@RivasJairo Bravo, Jairo!!! :)))',Positivo
'@inquilinasls @Spotify socorro ksoaksosks acho que é porque to usando na caixinha de som :p',Positivo
'@chimekarlla gosto muito de fazenda :) , mas morro de medo de galinha kkkkkkk',Positivo
'Amanha vou ver venom :D',Positivo
'Porque simplesmente as coisas que me deixam chateada são aquelas coisas que eu quero mesmo muitooo ver e me iludir :) https://t.co/zEiHgH2oJz',Positivo
'A partir de segunda começa uma nova rotina, e assim dá perfeitamente para consolidar com a escola de condução :p',Positivo
'Meu amigo parece estar apaixonado por vc — é recíproco! :) https://t.co/FLnOcbarXY',Positivo
'@Goncla_Silva és um gajo bacano, vê lá se não me aleijas mais, espero que tu e a Silva sejam muito felizes :))',Positivo
'tou a ver videos de cabrinhas bebés :D',Positivo
'@Danniel_Sampa Vou verificar já o que está ocorrendo, Dan! Venha conversar comigo na DM pra gente conversar melhor, blz?! :) https://t.co/5yUsfK64x1',Positivo
'@gabriolaz Quando for me chama? :)',Positivo
'@bronza Se fosse só nariz... É olho, é ouvido... É preciso ser uma centopeia pra fazer voto útil no PT. :p',Positivo
'@SandwormPT O primeiro capítulo já está escrito. Tem gordas de cabelo vermelho, feministas peludas, um político obeso e o revisor da carris :-))))',Positivo
'feliz dia :p https://t.co/uCgjbaGmfi',Positivo
'@anadantassa_ Feliz dia das crianças :)',Positivo
'@tassiddm já tô calminha já :)',Positivo
'@_pat3icia_ @FOX_PT Sem problema. Eu como vi muitas pessoas a reclamarem por causa da estreia da temporada ser tão tardia no nossa país, presumi que nem toda a gente tivesse conhecimento :)',Positivo
'sou muito fotogênico :D https://t.co/0lSwaZGQvj',Positivo
'@RaiamMaia passei no concurso pra monlevade, só que demora a chamar e eu tenho que formar tambem antes para ter o título, vamos aguardar... hehehe ao menos valeu a jornada :D',Positivo
'Sexta linda :) https://t.co/wWKZZMKvaj',Positivo
'Feliz dia das crianças :) Eu e Lula, amigos desde 2000. https://t.co/bkkDcEHi8d',Positivo
'@LucioMarinell Google it :). Não sofra com recursos',Positivo
'Quero agradecer aos novos seguidores. Eu ainda estou aqui graças a vcs! :)',Positivo
'Já estou na #BGS2018 :)',Positivo
'@tiavelhoca @creyto_ @broaordinaria @ClintPugstwood @bonitoporbosta @_malimallu @celsorodrigo_ @flcampagna @BrunoSuba Olar , tia :)',Positivo
'@esdrasdourado @roxmo @LeoJaime Ah... Já que vc é da Bahia vai ficar mais fácil vc responder! :)',Positivo
'Ora portanto, não há autocarro para sps, vou para Viseu e nem estou preocupada em arranjar boleia Estou a ignorar a situação :)',Positivo
'@liracae E ele ainda compra pao de queijo pra mim e ri quando digo que tomo café sem açúcar. Meu sogro PM e minha sogra evangélica me amam ♡ Aceita :)',Positivo
'estudando ao som de chuva (e vendo também, bem na minha frente :)',Positivo
'Ainda nesse contexto kids, os Leões de Israel também tem um trabalho parecido para as crianças. O álbum  Little Lions  já tem alguns anos, mas descobri há poucos meses. Muito bom :) https://t.co/ng2CWF8jgF #ReggaeBrasil #DiaDasCrianças',Positivo
'Estou participando do top comentarista do blog @lendoapreciando. São quatro opções de livros incríveis! :) https://t.co/Sxr8vTV2yH',Positivo
'#NCT127_Regular_Kor Regular :) https://t.co/MkIamPg4bB',Positivo
'@LucianoHuck Feliz dia das crianças pra todos nós, brasileiros!!!! :)',Positivo
':D #Minhas #Promessas Não Foram #Falsas, #Talvez #Precipitadas, ... [ #PartiuPalotinaCurtirFeriado ], ...  o https://t.co/ZygDkPBtAu',Positivo
'Uma coisa que nadja nunca será P R O T A G O N I S T A &lt;3 Mesmo eliminada sempre sendo lembrada e citada :)  ANA PAULA PROTAGONISTA ',Positivo
'Não des RT nas minhas cenas quando tu foste o mais lixo :)',Positivo
'Feliz dia das crianças :) ^^ https://t.co/3iqEvbCHhO',Positivo
'@MFRmiku Só quero que você não morra :)',Positivo
'#NCT127_Regular_Kor JUNGWOO COM CABELO AZUL E O ATUAL :)) até porque ja tive o cabelo azul igual ao dele e tenho o cabelo (agora) igual ao dele :)) https://t.co/cLX1ohjtMf',Positivo
'esperei o ônibus por 1h e ainda peguei errado :) feriadou',Positivo
'feliz dia das crianças pra você que dá em cima das minas mesmo tendo namorada :)',Positivo
'@claaract_ De nada! :)',Positivo
'O taehyung em Londres è uma das coisas mais bonitas que eu já vi,aquela cidade tem tudo haver com ele,ele tá tão feliz :)',Positivo
'smp melhor q Drake :) https://t.co/tLKu32OZa0',Positivo
'@HijitodeDios Te mando DM :) *Fons',Positivo
'Kkkk rindo até 2030 :))))) https://t.co/GVasLnjb0K',Positivo
'Feliz dia das crianças pra vc que é mal com outras pessoas para seus amigos te acharem legal :)',Positivo
'ALGUÉM ( @fernandatrama ) não sossegava enquanto não fosse no restaurante-africano-que-tem-as-comidas-dos-livros-da-Chimamanda :P nham  TÁ PAGO  - @Cecillia @carolinacferr @samucamf @4samirexss @igorarigor https://t.co/8YZkC01jAW',Positivo
'Hoje ta parecendo sabado to perdida :)',Positivo
'@Pirulla25 Vai lá e ensina pra ele :D',Positivo
'@alice_carlette feliz em ver você feliz por me ver feliz :)',Positivo
'Minha tia não é facista! Nem a sua. Esse é o video mais importante dessa história toda. Se assistir até o fim ganha um brigadeiro! :) https://t.co/E8rXU8ZkK2',Positivo
'@WeLovesT3ddy Obrigada!!! :)',Positivo
'@ddessah Oi! Ler para uma criança desde cedo ajuda muito no desenvolvimento e também a criatividade e imaginação. Você costuma ler para uma criança? :)',Positivo
'@AngelaM61803112 fui sem vontade, mas gostei muito :)',Positivo
'@cassiajohann pelo menos não ta se cagando e vomitando :D',Positivo
'Está tudo bem :)',Positivo
'@t3ddyyyyy BRIGADUH &lt;3 :)',Positivo
'@imHaruyuki Ontem eu beijei meu namorado : ) Só que depois eu percebi que era um sonho :’’)',Positivo
'@rodrigocoelhoc Hahaha olha só! :D',Positivo
'Tu tem MT teta — não, tenho só duas mesmo :) https://t.co/aSCaGevdA3',Positivo
