@relation sentimentos

@attribute text string
@attribute feeling {Negativo,Neutro,Positivo}

@data
'@NelsonSheep O correto é reeducação alimentar e prática de exercícios. Sempre equilibrar o que você consome com a energia que você gasta! :)',Positivo
'as 20hs eu respondo as DMS :)',Positivo
'@anaraquel1611 @adrianasalsilva Durmo com o Faísca :)',Positivo
'aceito sugestões de músicas acústicas/ao vivo qualquer estilo, nacional e internacional :D',Positivo
'Perguntem :)) https://t.co/rKF4lyfkXp',Positivo
'Meu pai aceitou q a corrente com brilhante dele ficava melhor em mim e FINALMENTE me deu Eu amo meu papai :)',Positivo
'A Eliana é linda — com aquela sweat cinza ya :) https://t.co/TdI1ZyMYbe',Positivo
'@Beto_Morumbi nessa questão, somente nessa, Bolsonaro, que tem até mais motivos para estar preso :)',Positivo
'Brutal! Dia 1 lá estarei :)) https://t.co/b9cxUsnvwJ',Positivo
'@MonjaAlly @Camila_Cabello Awww kha bonitoo!!!! :3 Felicidades, te lo mereces!!! :D #MPN #CamilaCabello @Camila_Cabello https://t.co/WTjyeeflfu',Positivo
'@KaseftJv GIIIII TEU CELL QUEBROU NÉ NENÊ :C SÓ QUERIA DIZER Q EU TE AMO MT E AINDA VOU TE MORDER :)))',Positivo
'@pontofrio Que beleza e nem email eu recebi sobre, muito obrigada :)',Positivo
'@balhegoo não muito pra não deixar de cabeça inflada mas um pouco tem que fazer :p',Positivo
'Fico muito triste quando vejo que as pessoas que mais pregam o amor ao próximo são as que menos realmente amam. Desculpa, mas quem apoia alguém que é a favor da tortura, não ama de forma alguma, seu próximo. : )',Positivo
'Nem desafinada :) https://t.co/vQluKuWHoc',Positivo
'Com o Proença já não se realizava esta partida de futebol :)))))))',Positivo
'Cheguei ao meu quarto após uma noite na casa da Bia e já não tenho móveis, nem armários e a minha cama está no chão :)))',Positivo
'@lmjlpatd aah simmm mas amei seus desenhos serio muito bons parabeeens :)',Positivo
'https://t.co/6soioWhmyB Cola lá na live que vai ter ranked :p',Positivo
'@inkasss28 @Francis89207575 Eu n conto a nng, não se preocupem :)))',Positivo
'@caixa_historias @paolasiviero Ótimo episódio, não consegui resistir e comprei o livro antes de acabar a leitura :)',Positivo
'@carameoul @4woulls Eu te amo tbm, é que a gente tá fazendo match! Quando você ASSUMIR GOT7 OU SNSD a gente faz tbm :)',Positivo
'Não acredito que vai haver outro concerto do Ed Sheeran meuuuuuuuuu, o meu sonho ainda se pode realizar :)))',Positivo
'vcs têm 14/15 anos e mandam nudes assim a qualquer um, fodem com qualquer um, fingem se de bêbadas, não gostam de fumar mas ya fumam só para chamar atenção a gajos ou mesmo só para se acharem fixes i mean vcs são uma merda... cuidem se :)',Positivo
